Employee #,Year,Month,FTE,FMLA Hours,Training Hours,Name
1,2009,1,1,NA,50,Akilah Amyx  
1,2009,2,1,NA,47,Akilah Amyx  
1,2009,3,1,NA,36,Akilah Amyx  
1,2009,4,1,NA,NA,Akilah Amyx  
1,2009,5,1,NA,NA,Akilah Amyx  
1,2009,6,1,NA,NA,Akilah Amyx  
1,2009,7,1,NA,NA,Akilah Amyx  
1,2009,8,1,NA,NA,Akilah Amyx  
1,2009,9,1,NA,NA,Akilah Amyx  
1,2009,10,1,NA,NA,Akilah Amyx  
1,2009,11,1,NA,NA,Akilah Amyx  
1,2009,12,1,NA,NA,Akilah Amyx  
1,2010,1,1,NA,NA,Akilah Amyx  
1,2010,2,1,NA,NA,Akilah Amyx  
1,2010,3,1,NA,55,Akilah Amyx  
2,2012,8,1,NA,6,Alaine Amedee  
2,2012,9,1,NA,58,Alaine Amedee  
2,2012,10,1,NA,NA,Alaine Amedee  
2,2012,11,1,NA,NA,Alaine Amedee  
2,2012,12,1,NA,NA,Alaine Amedee  
3,2009,1,0.5,NA,NA,Albertina Arevalo  
3,2009,2,1,NA,NA,Albertina Arevalo  
3,2009,3,1,NA,NA,Albertina Arevalo  
3,2009,4,1,NA,NA,Albertina Arevalo  
3,2009,5,0.5,NA,50,Albertina Arevalo  
3,2009,6,1,NA,NA,Albertina Arevalo  
3,2009,7,1,NA,NA,Albertina Arevalo  
3,2009,8,1,NA,NA,Albertina Arevalo  
3,2009,9,1,NA,NA,Albertina Arevalo  
3,2009,10,1,NA,54,Albertina Arevalo  
3,2009,11,1,NA,NA,Albertina Arevalo  
3,2009,12,1,NA,NA,Albertina Arevalo  
3,2010,1,1,58,NA,Albertina Arevalo  
3,2010,2,1,NA,NA,Albertina Arevalo  
3,2010,3,1,NA,NA,Albertina Arevalo  
3,2010,4,1,NA,NA,Albertina Arevalo  
3,2010,5,1,NA,NA,Albertina Arevalo  
3,2010,6,1,NA,NA,Albertina Arevalo  
3,2010,7,1,NA,NA,Albertina Arevalo  
3,2010,8,1,NA,16,Albertina Arevalo  
3,2010,9,1,NA,NA,Albertina Arevalo  
3,2010,10,1,NA,NA,Albertina Arevalo  
3,2010,11,1,NA,NA,Albertina Arevalo  
3,2010,12,1,NA,36,Albertina Arevalo  
3,2011,1,1,NA,NA,Albertina Arevalo  
3,2011,2,1,NA,NA,Albertina Arevalo  
3,2011,3,1,NA,NA,Albertina Arevalo  
3,2011,4,1,NA,NA,Albertina Arevalo  
3,2011,5,1,NA,NA,Albertina Arevalo  
3,2011,6,1,NA,NA,Albertina Arevalo  
3,2011,7,0.5,NA,NA,Albertina Arevalo  
3,2011,8,1,NA,NA,Albertina Arevalo  
3,2011,9,1,NA,NA,Albertina Arevalo  
3,2011,10,1,NA,NA,Albertina Arevalo  
3,2011,11,1,NA,NA,Albertina Arevalo  
3,2011,12,1,NA,NA,Albertina Arevalo  
3,2012,1,1,NA,NA,Albertina Arevalo  
3,2012,2,0.5,NA,NA,Albertina Arevalo  
3,2012,3,1,NA,NA,Albertina Arevalo  
3,2012,4,1,NA,6,Albertina Arevalo  
3,2012,5,1,NA,NA,Albertina Arevalo  
3,2012,6,1,NA,NA,Albertina Arevalo  
3,2012,7,1,NA,NA,Albertina Arevalo  
3,2012,8,1,NA,NA,Albertina Arevalo  
3,2012,9,1,NA,NA,Albertina Arevalo  
3,2012,10,1,NA,NA,Albertina Arevalo  
3,2012,11,1,NA,NA,Albertina Arevalo  
3,2012,12,1,NA,26,Albertina Arevalo  
3,2013,1,1,NA,NA,Albertina Arevalo  
3,2013,2,1,NA,NA,Albertina Arevalo  
3,2013,3,1,NA,NA,Albertina Arevalo  
3,2013,4,1,NA,NA,Albertina Arevalo  
3,2013,5,1,NA,22,Albertina Arevalo  
3,2013,6,1,NA,NA,Albertina Arevalo  
3,2013,7,1,NA,NA,Albertina Arevalo  
3,2013,8,1,NA,NA,Albertina Arevalo  
3,2013,9,1,NA,NA,Albertina Arevalo  
3,2013,10,1,NA,NA,Albertina Arevalo  
3,2013,11,1,NA,52,Albertina Arevalo  
3,2013,12,1,NA,NA,Albertina Arevalo  
3,2014,1,1,NA,NA,Albertina Arevalo  
3,2014,2,1,NA,29,Albertina Arevalo  
3,2014,3,1,NA,44,Albertina Arevalo  
3,2014,4,1,NA,NA,Albertina Arevalo  
3,2014,5,1,NA,NA,Albertina Arevalo  
3,2014,6,1,NA,NA,Albertina Arevalo  
3,2014,7,1,NA,44,Albertina Arevalo  
3,2014,8,1,NA,NA,Albertina Arevalo  
3,2014,9,1,NA,NA,Albertina Arevalo  
3,2014,10,1,110,NA,Albertina Arevalo  
3,2014,11,1,NA,NA,Albertina Arevalo  
3,2014,12,1,NA,NA,Albertina Arevalo  
3,2015,1,1,NA,NA,Albertina Arevalo  
3,2015,2,1,NA,23,Albertina Arevalo  
3,2015,3,0.5,NA,NA,Albertina Arevalo  
3,2015,4,1,NA,NA,Albertina Arevalo  
3,2015,5,1,NA,NA,Albertina Arevalo  
3,2015,6,1,NA,50,Albertina Arevalo  
3,2015,7,1,NA,30,Albertina Arevalo  
3,2015,8,1,NA,NA,Albertina Arevalo  
3,2015,9,1,NA,NA,Albertina Arevalo  
4,2009,1,1,NA,NA,Alex Ashbrook  
4,2009,2,1,NA,NA,Alex Ashbrook  
4,2009,3,1,66,NA,Alex Ashbrook  
4,2009,4,1,NA,NA,Alex Ashbrook  
4,2009,5,1,NA,NA,Alex Ashbrook  
4,2009,6,1,NA,NA,Alex Ashbrook  
4,2009,7,1,NA,NA,Alex Ashbrook  
4,2009,8,1,NA,35,Alex Ashbrook  
4,2009,9,1,NA,NA,Alex Ashbrook  
4,2009,10,0.5,NA,NA,Alex Ashbrook  
4,2009,11,1,NA,NA,Alex Ashbrook  
4,2009,12,1,41,NA,Alex Ashbrook  
4,2010,1,1,NA,NA,Alex Ashbrook  
4,2010,2,1,NA,NA,Alex Ashbrook  
4,2010,3,1,NA,NA,Alex Ashbrook  
4,2010,4,1,NA,NA,Alex Ashbrook  
4,2010,5,1,NA,NA,Alex Ashbrook  
4,2010,6,1,NA,NA,Alex Ashbrook  
4,2010,7,1,NA,NA,Alex Ashbrook  
4,2010,8,1,NA,NA,Alex Ashbrook  
4,2010,9,1,NA,NA,Alex Ashbrook  
4,2010,10,1,NA,NA,Alex Ashbrook  
4,2010,11,1,NA,39,Alex Ashbrook  
