Employee..,Year,Month,FTE,FMLA.Hours,Training.Hours,Name
1,2009,1,1,NA,NA,Akilah Amyx  
1,2009,2,1,NA,NA,Akilah Amyx  
1,2009,3,1,NA,NA,Akilah Amyx  
1,2009,4,1,NA,NA,Akilah Amyx  
1,2009,5,1,NA,NA,Akilah Amyx  
1,2009,6,1,NA,NA,Akilah Amyx  
1,2009,7,1,NA,NA,Akilah Amyx  
1,2009,8,1,NA,32,Akilah Amyx  
1,2009,9,1,NA,NA,Akilah Amyx  
1,2009,10,1,NA,NA,Akilah Amyx  
1,2009,11,1,NA,22,Akilah Amyx  
1,2009,12,1,NA,NA,Akilah Amyx  
1,2010,1,1,NA,49,Akilah Amyx  
1,2010,2,1,NA,NA,Akilah Amyx  
1,2010,3,1,0,56,Akilah Amyx  
2,2012,8,1,NA,NA,Alaine Amedee  
2,2012,9,1,27,NA,Alaine Amedee  
2,2012,10,1,NA,NA,Alaine Amedee  
2,2012,11,1,NA,NA,Alaine Amedee  
2,2012,12,1,NA,42,Alaine Amedee  
3,2009,1,1,NA,NA,Albertina Arevalo  
3,2009,2,1,NA,NA,Albertina Arevalo  
3,2009,3,1,NA,18,Albertina Arevalo  
3,2009,4,1,NA,NA,Albertina Arevalo  
3,2009,5,1,NA,50,Albertina Arevalo  
3,2009,6,1,NA,NA,Albertina Arevalo  
3,2009,7,1,NA,NA,Albertina Arevalo  
3,2009,8,1,NA,NA,Albertina Arevalo  
3,2009,9,1,NA,NA,Albertina Arevalo  
3,2009,10,1,NA,26,Albertina Arevalo  
3,2009,11,1,NA,NA,Albertina Arevalo  
3,2009,12,1,NA,NA,Albertina Arevalo  
3,2010,1,1,NA,NA,Albertina Arevalo  
3,2010,2,1,NA,NA,Albertina Arevalo  
3,2010,3,1,NA,NA,Albertina Arevalo  
3,2010,4,1,NA,NA,Albertina Arevalo  
3,2010,5,1,NA,NA,Albertina Arevalo  
3,2010,6,1,NA,NA,Albertina Arevalo  
3,2010,7,1,NA,NA,Albertina Arevalo  
3,2010,8,1,NA,43,Albertina Arevalo  
3,2010,9,1,NA,NA,Albertina Arevalo  
3,2010,10,1,NA,NA,Albertina Arevalo  
3,2010,11,1,NA,NA,Albertina Arevalo  
3,2010,12,1,NA,NA,Albertina Arevalo  
3,2011,1,1,NA,NA,Albertina Arevalo  
3,2011,2,1,NA,NA,Albertina Arevalo  
3,2011,3,1,NA,NA,Albertina Arevalo  
3,2011,4,1,NA,NA,Albertina Arevalo  
3,2011,5,1,NA,2,Albertina Arevalo  
3,2011,6,1,NA,NA,Albertina Arevalo  
3,2011,7,1,NA,NA,Albertina Arevalo  
3,2011,8,0.5,NA,51,Albertina Arevalo  
3,2011,9,1,NA,NA,Albertina Arevalo  
3,2011,10,1,NA,NA,Albertina Arevalo  
3,2011,11,1,NA,NA,Albertina Arevalo  
3,2011,12,1,NA,NA,Albertina Arevalo  
3,2012,1,1,NA,NA,Albertina Arevalo  
3,2012,2,1,NA,NA,Albertina Arevalo  
3,2012,3,1,NA,NA,Albertina Arevalo  
3,2012,4,1,NA,NA,Albertina Arevalo  
3,2012,5,1,NA,NA,Albertina Arevalo  
3,2012,6,1,NA,NA,Albertina Arevalo  
3,2012,7,1,NA,NA,Albertina Arevalo  
3,2012,8,1,NA,NA,Albertina Arevalo  
3,2012,9,1,NA,51,Albertina Arevalo  
3,2012,10,1,NA,43,Albertina Arevalo  
3,2012,11,1,NA,NA,Albertina Arevalo  
