HOME_COUNTY,FTE,PERIOD,EMPLOYEEID,REGIONID,Name
Pottawatomie,100 %,06/2012,46,49,Cheree Crites  
Pottawatomie,100 %,08/2012,46,49,Cheree Crites  
Pottawatomie,100 %,09/2012,46,49,Cheree Crites  
Pottawatomie,100 %,10/2012,46,49,Cheree Crites  
Pottawatomie,100 %,12/2012,46,49,Cheree Crites  
Pottawatomie,100 %,01/2013,46,49,Cheree Crites  
Pottawatomie,100 %,02/2013,46,49,Cheree Crites  
Oklahoma,100 %,08/2012,47,44,Cheryll Canez  
Oklahoma,100 %,09/2012,47,44,Cheryll Canez  
Oklahoma,100 %,10/2012,47,44,Cheryll Canez  
Oklahoma,100 %,12/2012,47,44,Cheryll Canez  
Oklahoma,100 %,01/2013,47,44,Cheryll Canez  
Oklahoma,100 %,02/2013,47,44,Cheryll Canez  
Oklahoma,100 %,03/2013,47,44,Cheryll Canez  
Oklahoma,100 %,06/2013,47,44,Cheryll Canez  
Pittsburg,100 %,02/2013,48,16,Claribel Crouse  
Pittsburg,50 %,06/2013,48,16,Claribel Crouse  
Pittsburg,100 %,07/2013,48,16,Claribel Crouse  
Pittsburg,100 %,08/2013,48,16,Claribel Crouse  
Pittsburg,100 %,09/2013,48,16,Claribel Crouse  
Pittsburg,100 %,10/2013,48,16,Claribel Crouse  
Pittsburg,100 %,12/2013,48,16,Claribel Crouse  
Pittsburg,100 %,01/2014,48,16,Claribel Crouse  
Pittsburg,100 %,02/2014,48,15,Claribel Crouse  
Pittsburg,100 %,03/2014,48,16,Claribel Crouse  
Pittsburg,100 %,04/2014,48,15,Claribel Crouse  
Pittsburg,100 %,05/2014,48,15,Claribel Crouse  
Pittsburg,76 %,06/2014,48,16,Claribel Crouse  
Pittsburg,100 %,07/2014,48,16,Claribel Crouse  
Pittsburg,100 %,08/2014,48,15,Claribel Crouse  
Pittsburg,100 %,09/2014,48,15,Claribel Crouse  
Pittsburg,100 %,10/2014,48,15,Claribel Crouse  
Pittsburg,100 %,11/2014,48,15,Claribel Crouse  
Pittsburg,100 %,12/2014,48,15,Claribel Crouse  
Pittsburg,100 %,01/2015,48,15,Claribel Crouse  
Pittsburg,100 %,02/2015,48,15,Claribel Crouse  
Pittsburg,100 %,03/2015,48,16,Claribel Crouse  
Pittsburg,100 %,04/2015,48,16,Claribel Crouse  
Pittsburg,100 %,05/2015,48,16,Claribel Crouse  
Pittsburg,100 %,06/2015,48,16,Claribel Crouse  
Muskogee,100 %,06/2012,49,20,Claudette Conkling  
Muskogee,100 %,08/2012,49,20,Claudette Conkling  
Muskogee,100 %,09/2012,49,20,Claudette Conkling  
Muskogee,100 %,10/2012,49,20,Claudette Conkling  
Muskogee,100 %,12/2012,49,20,Claudette Conkling  
Muskogee,50 %,01/2013,49,20,Claudette Conkling  
Muskogee,100 %,02/2013,49,20,Claudette Conkling  
Muskogee,100 %,03/2013,49,20,Claudette Conkling  
Muskogee,100 %,06/2013,49,20,Claudette Conkling  
Muskogee,100 %,07/2013,49,20,Claudette Conkling  
Muskogee,100 %,08/2013,49,20,Claudette Conkling  
